# As in "Rethinking Foundation Models for Medical Image Classification through a Benchmark Study on MedMNIST" paper
model,dataset,training,acc_mean,acc_var
VGG16,DermaMNIST,F,85.49,0.32
DenseNet-121,DermaMNIST,F,87.68,0.75
ResNet-18,DermaMNIST,F,86.05,.78
EfficientNet-B4,DermaMNIST,F,88.13,0.49
ViT-B/16,DermaMNIST,F,89.49,0.24
CLIP ViT-B/16,DermaMNIST,F,89.64,0.31
SAM-C ViT-B/16,DermaMNIST,F,88.43,0.07
SAM ViT-B/16,DermaMNIST,F,80.62,0.46
EVA-02 ViT-B/14,DermaMNIST,F,88.79,0.45
OpenAI ViT-B/16,DermaMNIST,F,89.74,0.52
DINO ViT-B/16,DermaMNIST,F,89.39,0.12
DINOv2 ViT-B/14,DermaMNIST,F,92.02,0.32

VGG16,DermaMNIST,L,76.60,0.21
DenseNet-121,DermaMNIST,L,78.00,0.34
ResNet-18,DermaMNIST,L,74.79,0.10
EfficientNet-B4,DermaMNIST,L,72.38,0.55
ViT-B/16,DermaMNIST,L,83.40,0.26
CLIP ViT-B/16,DermaMNIST,L,82.36,0.16
SAM-C ViT-B/16,DermaMNIST,L,83.04,0.08
SAM ViT-B/16,DermaMNIST,L,66.88,0.00
EVA-02 ViT-B/14,DermaMNIST,L,82.70,0.20
OpenAI ViT-B/16,DermaMNIST,L,82.80,0.23
DINO ViT-B/16,DermaMNIST,L,84.87,0.36
DINOv2 ViT-B/14,DermaMNIST,L,83.97,0.08

VGG16,PneumoniaMNIST,F,90.12,0.72
DenseNet-121,PneumoniaMNIST,F,94.02,0.59
ResNet-18,PneumoniaMNIST,F,91.61,0.79
EfficientNet-B4,PneumoniaMNIST,F,90.38,0.68
ViT-B/16,PneumoniaMNIST,F,91.29,0.72
CLIP ViT-B/16,PneumoniaMNIST,F,91.29,0.42
SAM-C ViT-B/16,PneumoniaMNIST,F,91.24,1.45
SAM ViT-B/16,PneumoniaMNIST,F,88.25,1.32
EVA-02 ViT-B/14,PneumoniaMNIST,F,90.75,0.95
OpenAI ViT-B/16,PneumoniaMNIST,F,90.01,0.62
DINO ViT-B/16,PneumoniaMNIST,F,91.01,0.15
DINOv2 ViT-B/14,PneumoniaMNIST,F,90.81,0.2

VGG16,PneumoniaMNIST,L,86.59,0.19
DenseNet-121,PneumoniaMNIST,L,87.39,0.45
ResNet-18,PneumoniaMNIST,L,85.25,0.59
EfficientNet-B4,PneumoniaMNIST,L,85.52,0.42
ViT-B/16,PneumoniaMNIST,L,88.30,0.81
CLIP ViT-B/16,PneumoniaMNIST,L,88.24,0.15
SAM-C ViT-B/16,PneumoniaMNIST,L,89.36,0.15
SAM ViT-B/16,PneumoniaMNIST,L,73.07,0.26
EVA-02 ViT-B/14,PneumoniaMNIST,L,86.21,0.00
OpenAI ViT-B/16,PneumoniaMNIST,L,86.91,0.15
DINO ViT-B/16,PneumoniaMNIST,L,92.41,0.42
DINOv2 ViT-B/14,PneumoniaMNIST,L,90.65,0.65

VGG16,BreastMNIST,F,90.60,1.21
DenseNet-121,BreastMNIST,F,91.24,0.6
ResNet-18,BreastMNIST,F,89.74,0.91
EfficientNet-B4,BreastMNIST,F,87.61,1.98
ViT-B/16,BreastMNIST,F,91.67,0.52
CLIP ViT-B/16,BreastMNIST,F,89.53,1.21
SAM-C ViT-B/16,BreastMNIST,F,90.60,2.47
SAM ViT-B/16,BreastMNIST,F,86.75,0.80
EVA-02 ViT-B/14,BreastMNIST,F,87.61,1.32
OpenAI ViT-B/16,BreastMNIST,F,89.96,1.09
DINO ViT-B/16,BreastMNIST,F,88.46,1.05
DINOv2 ViT-B/14,BreastMNIST,F,90.81,1.68

VGG16,BreastMNIST,L,84.18,0.79
DenseNet-121,BreastMNIST,L,82.47,0.79
ResNet-18,BreastMNIST,L,81.83,0.30
EfficientNet-B4,BreastMNIST,L,75.42,1.98
ViT-B/16,BreastMNIST,L,89.52,0.60
CLIP ViT-B/16,BreastMNIST,L,85.25,0.52
SAM-C ViT-B/16,BreastMNIST,L,87.29,0.30
SAM ViT-B/16,BreastMNIST,L,76.49,0.30
EVA-02 ViT-B/14,BreastMNIST,L,87.82,0.00
OpenAI ViT-B/16,BreastMNIST,L,86.75,0.30
DINO ViT-B/16,BreastMNIST,L,88.24,0.30
DINOv2 ViT-B/14,BreastMNIST,L,87.39,1.08

VGG16,BloodMNIST,F,98.90,0.04
DenseNet-121,BloodMNIST,F,99.06,0.13
ResNet-18,BloodMNIST,F,98.81,0.23
EfficientNet-B4,BloodMNIST,F,98.89,0.10
ViT-B/16,BloodMNIST,F,99.11,0.04
CLIP ViT-B/16,BloodMNIST,F,99.06,0.13
SAM-C ViT-B/16,BloodMNIST,F,99.01,0.10
SAM ViT-B/16,BloodMNIST,F,98.69,0.06
EVA-02 ViT-B/14,BloodMNIST,F,99.05,0.06
OpenAI ViT-B/16,BloodMNIST,F,98.83,0.33
DINO ViT-B/16,BloodMNIST,F,98.97,0.04
DINOv2 ViT-B/14,BloodMNIST,F,99.06,0.10

VGG16,BloodMNIST,L,91.87,0.08
DenseNet-121,BloodMNIST,L,95.95,0.06
ResNet-18,BloodMNIST,L,92.84,0.05
EfficientNet-B4,BloodMNIST,L,91.71,0.33
ViT-B/16,BloodMNIST,L,98.12,0.06
CLIP ViT-B/16,BloodMNIST,L,96.45,0.08
SAM-C ViT-B/16,BloodMNIST,L,97.14,0.19
SAM ViT-B/16,BloodMNIST,L,56.94,0.10
EVA-02 ViT-B/14,BloodMNIST,L,96.49,0.05 
OpenAI ViT-B/16,BloodMNIST,L,95.50,0.09
DINO ViT-B/16,BloodMNIST,L,98.58,0.04
DINOv2 ViT-B/14,BloodMNIST,L,97.80,0.13

VGG16,ChestMNIST,F,94.84,0.02
DenseNet-121,ChestMNIST,F,94.81,0.01
ResNet-18,ChestMNIST,F,94.82,0.03
EfficientNet-B4,ChestMNIST,F,94.84,0.00
ViT-B/16,ChestMNIST,F,94.85,0.01
CLIP ViT-B/16,ChestMNIST,F,94.84,0.00
SAM-C ViT-B/16,ChestMNIST,F,94.84,0.01
SAM ViT-B/16,ChestMNIST,F,94.79,0.00
EVA-02 ViT-B/14,ChestMNIST,F,94.83,0.01
OpenAI ViT-B/16,ChestMNIST,F,94.84,0.03
DINO ViT-B/16,ChestMNIST,F,94.83,0.03
DINOv2 ViT-B/14,ChestMNIST,F,94.87,0.01

VGG16,ChestMNIST,L,94.75,0.00
DenseNet-121,ChestMNIST,L,94.75,0.00
ResNet-18,ChestMNIST,L,94.74,0.00
EfficientNet-B4,ChestMNIST,L,94.70,0.01 
ViT-B/16,ChestMNIST,L,94.73,0.00
CLIP ViT-B/16,ChestMNIST,L,94.75,0.00
SAM-C ViT-B/16,ChestMNIST,L,94.76,0.01
SAM ViT-B/16,ChestMNIST,L,94.74,0.00
EVA-02 ViT-B/14,ChestMNIST,L,94.74,0.00
OpenAI ViT-B/16,ChestMNIST,L,94.74,0.00
DINO ViT-B/16,ChestMNIST,L,94.76,0.01
DINOv2 ViT-B/14,ChestMNIST,L,94.74,0.00


VGG16,OCTMNIST,F,88.67,0.34
DenseNet-121,OCTMNIST,F,90.63,1.76
ResNet-18,OCTMNIST,F,88.57,0.90
EfficientNet-B4,OCTMNIST,F,91.20,0.99
ViT-B/16,OCTMNIST,F,92.13,0.46
CLIP ViT-B/16,OCTMNIST,F,91.83,1.36
SAM-C ViT-B/16,OCTMNIST,F,90.17,0.46
SAM ViT-B/16,OCTMNIST,F,89.53,0.26
EVA-02 ViT-B/14,OCTMNIST,F,89.30,1.73
OpenAI ViT-B/16,OCTMNIST,F,90.37,2.64
DINO ViT-B/16,OCTMNIST,F,92.43,0.79
DINOv2 ViT-B/14,OCTMNIST,F,92.57,0.99

VGG16,OCTMNIST,L,68.63,0.25
DenseNet-121,OCTMNIST,L,62.83,0.21
ResNet-18,OCTMNIST,L,55.43,0.17
EfficientNet-B4,OCTMNIST,L,63.27,1.24
ViT-B/16,OCTMNIST,L,81.40,0.28
CLIP ViT-B/16,OCTMNIST,L,79.67,0.61
SAM-C ViT-B/16,OCTMNIST,L,75.47,0.17
SAM ViT-B/16,OCTMNIST,L,34.63,0.05
EVA-02 ViT-B/14,OCTMNIST,L,63.53,0.34
OpenAI ViT-B/16,OCTMNIST,L,72.10,0.65
DINO ViT-B/16,OCTMNIST,L,73.80,0.43
DINOv2 ViT-B/14,OCTMNIST,L,83.20,0.16

VGG16,OrganAMNIST,F,96.02,0.44
DenseNet-121,OrganAMNIST,F,97.52,0.25
ResNet-18,OrganAMNIST,F,96.66,0.12
EfficientNet-B4,OrganAMNIST,F,97.17,0.09
ViT-B/16,OrganAMNIST,F,97.89,0.25
CLIP ViT-B/16,OrganAMNIST,F,97.67,0.37
SAM-C ViT-B/16,OrganAMNIST,F,97.76,0.17
SAM ViT-B/16,OrganAMNIST,F,95.90,0.29
EVA-02 ViT-B/14,OrganAMNIST,F,97.72,0.35
OpenAI ViT-B/16,OrganAMNIST,F,97.25,0.04
DINO ViT-B/16,OrganAMNIST,F,97.59,0.16
DINOv2 ViT-B/14,OrganAMNIST,F,97.81,0.09

VGG16,OrganAMNIST,L,91.56,0.07
DenseNet-121,OrganAMNIST,L,91.53,0.11
ResNet-18,OrganAMNIST,L,87.05,0.20
EfficientNet-B4,OrganAMNIST,L,87.51,0.09
ViT-B/16,OrganAMNIST,L,93.02,0.03
CLIP ViT-B/16,OrganAMNIST,L,90.87,0.09
